Date,U.S.,U.K.,Germany,France
2013-12-31,35.0,40.0,30.0,45.0
2012-12-31,35.0,40.0,30.0,45.0
2011-12-31,35.0,40.0,30.0,45.0
2010-12-31,35.0,40.0,30.0,40.0
2009-12-31,45.0,40.0,30.0,40.0
2008-12-31,45.0,40.0,30.0,40.0
2007-12-31,45.0,40.0,30.0,40.0
2006-12-31,46.0,40.0,30.0,40.0
2005-12-31,47.0,40.0,30.0,40.0
2004-12-31,48.0,40.0,30.0,40.0
2003-12-31,49.0,40.0,30.0,40.0
2002-12-31,50.0,40.0,30.0,40.0
2001-12-31,55.0,40.0,30.0,40.0
2000-12-31,55.0,40.0,30.0,40.0
1999-12-31,55.0,40.0,30.0,40.0
1998-12-31,55.0,40.0,30.0,40.0
1997-12-31,55.0,40.0,30.0,40.0
1996-12-31,55.0,40.0,30.0,40.0
1995-12-31,55.0,40.0,35.0,40.0
1994-12-31,55.0,40.0,35.0,40.0
1993-12-31,55.0,40.0,35.0,40.0
1992-12-31,55.0,40.0,35.0,40.0
1991-12-31,55.0,40.0,35.0,40.0
1990-12-31,55.0,40.0,35.0,40.0
1989-12-31,55.0,40.0,35.0,40.0
1988-12-31,55.0,40.0,35.0,40.0
1987-12-31,55.0,60.0,35.0,40.0
1986-12-31,55.0,60.0,35.0,40.0
1985-12-31,55.0,60.0,35.0,40.0
1984-12-31,55.0,60.0,35.0,40.0
1983-12-31,60.0,75.0,35.0,20.0
1982-12-31,65.0,75.0,35.0,20.0
1981-12-31,70.0,75.0,35.0,20.0
1980-12-31,70.0,75.0,35.0,20.0
1979-12-31,70.0,75.0,35.0,20.0
1978-12-31,70.0,75.0,35.0,20.0
1977-12-31,70.0,75.0,35.0,20.0
1976-12-31,77.0,75.0,35.0,20.0
1975-12-31,77.0,75.0,35.0,20.0
1974-12-31,77.0,75.0,35.0,20.0
1973-12-31,77.0,75.0,15.0,20.0
1972-12-31,77.0,75.0,15.0,20.0
1971-12-31,77.0,85.0,15.0,20.0
1970-12-31,77.0,85.0,15.0,20.0
1969-12-31,77.0,85.0,15.0,20.0
1968-12-31,77.0,80.0,15.0,15.0
1967-12-31,77.0,80.0,15.0,15.0
1966-12-31,77.0,80.0,15.0,15.0
1965-12-31,77.0,80.0,15.0,15.0
1964-12-31,77.0,80.0,15.0,15.0
1963-12-31,77.0,80.0,15.0,15.0
1962-12-31,77.0,80.0,15.0,15.0
1961-12-31,77.0,80.0,15.0,15.0
1960-12-31,77.0,80.0,15.0,15.0
1959-12-31,77.0,80.0,15.0,15.0
1958-12-31,77.0,80.0,15.0,25.0
1957-12-31,77.0,80.0,15.0,25.0
1956-12-31,77.0,80.0,15.0,25.0
1955-12-31,77.0,80.0,15.0,25.0
1954-12-31,77.0,80.0,15.0,25.0
1953-12-31,77.0,80.0,38.0,25.0
1952-12-31,77.0,80.0,38.0,25.0
1951-12-31,77.0,80.0,38.0,25.0
1950-12-31,77.0,80.0,38.0,25.0
1949-12-31,77.0,80.0,38.0,25.0
1948-12-31,77.0,75.0,60.0,25.0
1947-12-31,77.0,75.0,60.0,25.0
1946-12-31,77.0,75.0,60.0,25.0
1945-12-31,77.0,65.0,15.0,25.0
1944-12-31,77.0,65.0,15.0,25.0
1943-12-31,77.0,65.0,15.0,25.0
1942-12-31,77.0,65.0,15.0,25.0
1941-12-31,77.0,65.0,15.0,25.0
1940-12-31,73.5,65.0,15.0,25.0
1939-12-31,70.0,55.0,15.0,25.0
1938-12-31,70.0,50.0,15.0,25.0
1937-12-31,70.0,50.0,15.0,25.0
1936-12-31,70.0,50.0,15.0,25.0
1935-12-31,63.333,50.0,15.0,25.0
1934-12-31,54.583,50.0,15.0,25.0
1933-12-31,45.0,50.0,15.0,25.0
1932-12-31,34.583,50.0,15.0,25.0
1931-12-31,20.0,50.0,15.0,25.0
1930-12-31,20.0,50.0,15.0,25.0
1929-12-31,20.0,40.0,15.0,25.0
1928-12-31,20.0,40.0,15.0,25.0
1927-12-31,20.0,40.0,15.0,25.0
1926-12-31,23.33,40.0,15.0,29.0
1925-12-31,40.0,40.0,15.0,29.0
1924-12-31,33.75,40.0,15.0,29.0
1923-12-31,25.0,40.0,15.0,29.0
1922-12-31,25.0,40.0,15.0,29.0
1921-12-31,25.0,40.0,35.0,29.0
1920-12-31,25.0,40.0,35.0,29.0
1919-12-31,25.0,40.0,35.0,18.0
1918-12-31,25.0,20.0,0.0,18.0
1917-12-31,16.667,20.0,0.0,18.0
1916-12-31,10.0,20.0,0.0,6.5
1915-12-31,0.0,20.0,0.0,6.5
1914-12-31,0.0,20.0,0.0,6.5
1913-12-31,0.0,15.0,0.0,6.5
1912-12-31,0.0,15.0,0.0,6.5
1911-12-31,0.0,15.0,0.0,6.5
1910-12-31,0.0,15.0,0.0,6.5
1909-12-31,0.0,15.0,0.0,5.0
1908-12-31,0.0,15.0,0.0,5.0
1907-12-31,0.0,15.0,0.0,5.0
1906-12-31,0.0,8.0,0.0,5.0
1905-12-31,0.0,8.0,0.0,5.0
1904-12-31,0.0,8.0,0.0,5.0
1903-12-31,0.0,8.0,0.0,5.0
1902-12-31,0.0,8.0,0.0,5.0
1901-12-31,0.0,8.0,0.0,5.0
1900-12-31,0.0,8.0,0.0,2.0
